Episode #,State,Action,Reward,Next State,Terminated
1,"(array([-0.4878395,  0.       ], dtype=float32), {})",1,-1.0,[-4.8810717e-01 -2.6768044e-04],0
1,[-4.8810717e-01 -2.6768044e-04],1,-1.0,[-0.48864055 -0.00053336],0
1,[-0.48864055 -0.00053336],1,-1.0,[-0.4894356  -0.00079507],0
1,[-0.4894356  -0.00079507],1,-1.0,[-0.49048647 -0.00105085],0
1,[-0.49048647 -0.00105085],1,-1.0,[-0.49178523 -0.00129878],0
1,[-0.49178523 -0.00129878],1,-1.0,[-0.49332225 -0.00153702],0
1,[-0.49332225 -0.00153702],1,-1.0,[-0.49508604 -0.00176378],0
1,[-0.49508604 -0.00176378],1,-1.0,[-0.4970634  -0.00197737],0
1,[-0.4970634  -0.00197737],1,-1.0,[-0.4992396  -0.00217617],0
1,[-0.4992396  -0.00217617],1,-1.0,[-0.5015983 -0.0023587],0
1,[-0.5015983 -0.0023587],1,-1.0,[-0.5041219  -0.00252359],0
1,[-0.5041219  -0.00252359],1,-1.0,[-0.5067915  -0.00266958],0
1,[-0.5067915  -0.00266958],1,-1.0,[-0.50958705 -0.00279558],0
1,[-0.50958705 -0.00279558],1,-1.0,[-0.51248765 -0.00290064],0
1,[-0.51248765 -0.00290064],1,-1.0,[-0.51547164 -0.00298396],0
1,[-0.51547164 -0.00298396],1,-1.0,[-0.51851654 -0.0030449 ],0
1,[-0.51851654 -0.0030449 ],1,-1.0,[-0.52159953 -0.00308302],0
1,[-0.52159953 -0.00308302],1,-1.0,[-0.52469754 -0.00309801],0
1,[-0.52469754 -0.00309801],1,-1.0,[-0.5277873  -0.00308977],0
1,[-0.5277873  -0.00308977],1,-1.0,[-0.5308457  -0.00305836],0
1,[-0.5308457  -0.00305836],1,-1.0,[-0.5338497  -0.00300401],0
1,[-0.5338497  -0.00300401],1,-1.0,[-0.53677684 -0.00292714],0
1,[-0.53677684 -0.00292714],1,-1.0,[-0.5396052  -0.00282833],0
1,[-0.5396052  -0.00282833],1,-1.0,[-0.5423135  -0.00270833],0
1,[-0.5423135  -0.00270833],1,-1.0,[-0.5448816  -0.00256804],0
1,[-0.5448816  -0.00256804],1,-1.0,[-0.5472901  -0.00240853],0
1,[-0.5472901  -0.00240853],1,-1.0,[-0.5495211 -0.002231 ],0
1,[-0.5495211 -0.002231 ],1,-1.0,[-0.55155784 -0.00203677],0
1,[-0.55155784 -0.00203677],1,-1.0,[-0.5533852  -0.00182733],0
1,[-0.5533852  -0.00182733],1,-1.0,[-0.5549894  -0.00160423],0
1,[-0.5549894  -0.00160423],1,-1.0,[-0.5563586  -0.00136914],0
1,[-0.5563586  -0.00136914],1,-1.0,[-0.5574824  -0.00112384],0
1,[-0.5574824  -0.00112384],1,-1.0,[-0.55835253 -0.00087015],0
1,[-0.55835253 -0.00087015],1,-1.0,[-0.5589625  -0.00060997],0
1,[-0.5589625  -0.00060997],1,-1.0,[-5.5930775e-01 -3.4523883e-04],0
1,[-5.5930775e-01 -3.4523883e-04],1,-1.0,[-5.5938572e-01 -7.7933415e-05],0
1,[-5.5938572e-01 -7.7933415e-05],1,-1.0,[-5.5919576e-01  1.8995315e-04],0
1,[-5.5919576e-01  1.8995315e-04],1,-1.0,[-5.5873930e-01  4.5642324e-04],0
1,[-5.5873930e-01  4.5642324e-04],1,-1.0,[-0.5580198   0.00071949],0
1,[-0.5580198   0.00071949],1,-1.0,[-0.55704266  0.00097719],0
1,[-0.55704266  0.00097719],1,-1.0,[-0.55581504  0.0012276 ],0
1,[-0.55581504  0.0012276 ],1,-1.0,[-0.5543462   0.00146884],0
1,[-0.5543462   0.00146884],1,-1.0,[-0.55264705  0.00169912],0
1,[-0.55264705  0.00169912],1,-1.0,[-0.55073035  0.00191671],0
1,[-0.55073035  0.00191671],1,-1.0,[-0.5486104   0.00211997],0
1,[-0.5486104   0.00211997],1,-1.0,[-0.54630303  0.00230738],0
1,[-0.54630303  0.00230738],1,-1.0,[-0.5438255   0.00247753],0
1,[-0.5438255   0.00247753],1,-1.0,[-0.54119635  0.00262914],0
1,[-0.54119635  0.00262914],1,-1.0,[-0.5384353   0.00276106],0
1,[-0.5384353   0.00276106],1,-1.0,[-0.535563   0.0028723],0
1,[-0.535563   0.0028723],1,-1.0,[-0.532601    0.00296201],0
1,[-0.532601    0.00296201],1,-1.0,[-0.5295715   0.00302952],0
1,[-0.5295715   0.00302952],1,-1.0,[-0.5264971   0.00307431],0
1,[-0.5264971   0.00307431],1,-1.0,[-0.5234011   0.00309605],0
1,[-0.5234011   0.00309605],1,-1.0,[-0.5203065   0.00309457],0
